ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
1,Brisbane,Brisbane International,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Fish M.,42,55,945,790,7,5,7,5,,,,,,,2,0,Completed,1.36,3,1.37,3,1.4,2.75,1.377,3.41,1.4,2.75,,,,
1,Brisbane,Brisbane International,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Ball C.,Zverev M.,134,78,400,590,7,5,6,1,,,,,,,2,0,Completed,2.1,1.66,2.05,1.75,2,1.727,1.917,2.01,2.25,1.571,,,,
1,Brisbane,Brisbane International,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Blake J.,Querrey S.,44,25,935,1320,4,6,6,3,6,4,,,,,2,1,Completed,1.72,2,1.65,2.15,1.615,2.2,1.769,2.2,1.667,2.1,,,,
1,Brisbane,Brisbane International,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Melzer J.,285,28,151,1260,7,5,6,1,,,,,,,2,0,Completed,5,1.14,4.92,1.15,1.14,5,5.57,1.19,1.17,4.5,,,,
1,Brisbane,Brisbane International,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Serra F.,Reister J.,65,173,665,284,6,7,7,6,7,5,,,,,2,1,Completed,1.44,2.62,1.42,2.75,1.44,2.62,1.483,2.9,1.44,2.63,,,,
1,Brisbane,Brisbane International,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Dent T.,13,76,2610,602,7,6,6,7,6,2,,,,,2,1,Completed,1.22,4,1.25,3.75,1.286,3.5,1.294,4.05,1.25,3.5,,,,
1,Brisbane,Brisbane International,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Blake J.,Gicquel M.,44,58,935,744,6,3,3,6,7,6,,,,,2,1,Completed,1.36,3,1.35,3.1,1.3,3.4,1.424,3.15,1.333,3,,,,
1,Brisbane,Brisbane International,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Stepanek R.,Dolgopolov O.,12,131,2625,413,5,7,7,6,6,2,,,,,2,1,Completed,1.12,5.5,1.13,5.5,1.12,5.5,1.159,6.39,1.125,5.5,,,,
1,Brisbane,Brisbane International,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Odesnik W.,Falla A.,105,81,521,587,6,7,6,2,6,1,,,,,2,1,Completed,2.25,1.57,2.1,1.7,2.1,1.667,2.4,1.658,2,1.727,,,,
1,Brisbane,Brisbane International,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Roddick A.,Ball C.,7,134,4410,400,7,6,6,3,,,,,,,2,0,Completed,1.06,8,1.07,7.19,1.083,7,1.125,7.65,1.063,7.5,,,,
1,Brisbane,Brisbane International,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Gasquet R.,Ebden M.,52,285,850,151,6,3,6,4,,,,,,,2,0,Completed,1.2,4.33,1.17,4.67,1.2,4.33,1.258,4.45,1.17,4.5,,,,
1,Brisbane,Brisbane International,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Bellucci T.,Levy H.,36,119,1021,461,6,4,4,6,6,4,,,,,2,1,Completed,1.4,2.75,1.42,2.75,1.444,2.625,1.5,2.83,1.444,2.625,,,,
1,Brisbane,Brisbane International,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Monfils G.,Serra F.,13,65,2610,665,6,7,7,6,6,1,,,,,2,1,Completed,1.16,4.5,1.2,4.25,1.222,4,1.211,5.17,1.2,4,,,,
1,Brisbane,Brisbane International,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Berdych T.,Baghdatis M.,20,42,1655,945,6,0,6,1,,,,,,,2,0,Completed,1.8,1.9,1.75,2.05,1.8,1.909,1.935,1.99,1.727,2,,,,
1,Brisbane,Brisbane International,01/07/2010,ATP250,Outdoor,Hard,Quarterfinals,3,Stepanek R.,Odesnik W.,12,105,2625,521,7,6,6,1,,,,,,,2,0,Completed,1.2,4.33,1.23,3.89,1.2,4.33,1.222,4.96,1.222,3.75,,,,
1,Brisbane,Brisbane International,01/07/2010,ATP250,Outdoor,Hard,Quarterfinals,3,Monfils G.,Blake J.,13,44,2610,935,3,6,6,3,6,4,,,,,2,1,Completed,1.57,2.25,1.67,2.1,1.667,2.1,1.667,2.38,1.615,2.2,,,,
1,Brisbane,Brisbane International,01/08/2010,ATP250,Outdoor,Hard,Quarterfinals,3,Berdych T.,Bellucci T.,20,36,1655,1021,7,6,2,6,7,6,,,,,2,1,Completed,1.22,4,1.23,3.89,1.222,4,1.322,3.8,1.222,3.75,,,,
1,Brisbane,Brisbane International,01/08/2010,ATP250,Outdoor,Hard,Quarterfinals,3,Roddick A.,Gasquet R.,7,52,4410,850,6,3,7,6,,,,,,,2,0,Completed,1.25,3.75,1.3,3.4,1.286,3.5,1.293,4.06,1.333,3,,,,
1,Brisbane,Brisbane International,01/09/2010,ATP250,Outdoor,Hard,Semifinals,3,Stepanek R.,Monfils G.,12,13,2625,2610,6,2,6,1,,,,,,,2,0,Completed,2.2,1.61,2.05,1.7,2.1,1.67,2.35,1.685,2,1.727,,,,
1,Brisbane,Brisbane International,01/09/2010,ATP250,Outdoor,Hard,Semifinals,3,Roddick A.,Berdych T.,7,20,4410,1655,1,6,6,3,6,4,,,,,2,1,Completed,1.3,3.4,1.38,2.91,1.364,3,1.357,3.54,1.364,3,,,,
1,Brisbane,Brisbane International,01/10/2010,ATP250,Outdoor,Hard,The Final,3,Roddick A.,Stepanek R.,7,12,4410,2625,7,6,7,6,,,,,,,2,0,Completed,1.4,2.87,1.42,2.75,1.4,2.75,1.439,3.08,1.444,2.625,,,,
2,Chennai,Chennai Open,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Kunitsyn I.,14,104,2430,525,6,2,6,4,,,,,,,2,0,Completed,1.12,5.5,1.13,5.5,1.14,5,1.151,6.63,1.125,5.5,,,,
2,Chennai,Chennai Open,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Hajek J.,Greul S.,103,59,526,739,3,6,6,2,6,4,,,,,2,1,Completed,2.62,1.44,2.45,1.5,2.5,1.5,2.75,1.524,2.5,1.5,,,,
2,Chennai,Chennai Open,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Giraldo S.,Phau B.,107,111,516,496,6,4,6,7,6,3,,,,,2,1,Completed,2,1.72,1.95,1.8,1.909,1.8,2.14,1.813,1.909,1.8,,,,
2,Chennai,Chennai Open,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Tipsarevic J.,Moya C.,38,446,1015,75,6,3,7,6,,,,,,,2,0,Completed,1.4,2.75,1.4,2.85,1.444,2.625,1.433,3.11,1.4,2.75,,,,
2,Chennai,Chennai Open,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,De Bakker T.,Ram R.,96,79,541,590,6,1,6,1,,,,,,,2,0,Completed,1.9,1.8,1.95,1.8,1.833,1.833,2.11,1.833,1.833,1.833,,,,
2,Chennai,Chennai Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Granollers M.,Ward J.,91,272,553,162,5,7,6,2,6,2,,,,,2,1,Completed,1.36,3,1.4,2.85,1.4,2.75,1.465,2.97,1.4,2.75,,,,
2,Chennai,Chennai Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Russell M.,Amritraj P.,83,212,579,222,6,3,6,1,,,,,,,2,0,Completed,1.5,2.5,1.48,2.53,1.5,2.5,1.562,2.64,1.57,2.25,,,,
2,Chennai,Chennai Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Ginepri R.,Soderling R.,100,8,529,3410,6,4,7,5,,,,,,,2,0,Completed,7,1.08,5.58,1.11,6,1.11,7.9,1.12,6.5,1.083,,,,
2,Chennai,Chennai Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Lacko L.,Lu Y.H.,82,98,580,537,6,4,6,3,,,,,,,2,0,Completed,1.9,1.8,1.95,1.8,1.833,1.833,1.926,2,1.833,1.833,,,,
2,Chennai,Chennai Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Haase R.,Yang T.H.,447,341,75,119,6,4,6,3,,,,,,,2,0,Completed,1.33,3.25,1.3,3.35,1.33,3.25,1.385,3.36,1.33,3,,,,
2,Chennai,Chennai Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Devvarman S.,Schuettler R.,126,85,441,575,7,5,6,2,,,,,,,2,0,Completed,1.61,2.2,1.65,2.15,1.667,2.1,1.725,2.27,1.615,2.2,,,,
2,Chennai,Chennai Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Berrer M.,Ventura S.,74,109,608,506,6,3,6,2,,,,,,,2,0,Completed,1.28,3.5,1.3,3.35,1.333,3.25,1.316,3.85,1.286,3.25,,,,
2,Chennai,Chennai Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Sela D.,Istomin D.,43,102,936,527,6,1,6,2,,,,,,,2,0,Completed,1.8,1.9,1.85,1.9,1.727,2,2.03,1.901,1.727,2,,,,
2,Chennai,Chennai Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Robert S.,Sorensen L.,108,293,508,144,6,2,6,1,,,,,,,2,0,Completed,1.5,2.5,1.5,2.45,1.44,2.62,1.585,2.57,1.5,2.5,,,,
2,Chennai,Chennai Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Kim K.,Brands D.,117,92,482,550,6,2,6,2,,,,,,,2,0,Completed,2.1,1.66,1.9,1.85,1.909,1.8,2.11,1.833,1.833,1.833,,,,
2,Chennai,Chennai Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Wawrinka S.,Bopanna R.,21,391,1635,95,6,1,6,4,,,,,,,2,0,Completed,1.12,5.5,1.13,5.5,1.083,7,1.165,6.19,1.071,7,,,,
2,Chennai,Chennai Open,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,De Bakker T.,Haase R.,96,447,541,75,6,3,6,4,,,,,,,2,0,Completed,2.2,1.61,2.1,1.7,2.375,1.533,2.2,1.769,2.2,1.615,,,,
2,Chennai,Chennai Open,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Giraldo S.,Hajek J.,107,103,516,526,6,4,6,2,,,,,,,2,0,Completed,1.57,2.25,1.65,2.2,1.667,2.1,1.662,2.39,1.667,2.1,,,,
2,Chennai,Chennai Open,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Granollers M.,14,91,2430,553,6,7,6,3,6,4,,,,,2,1,Completed,1.1,6.5,1.09,6.75,1.12,5.5,1.111,8.36,1.125,5.5,,,,
2,Chennai,Chennai Open,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Tipsarevic J.,Devvarman S.,38,126,1015,441,6,2,6,1,,,,,,,2,0,Completed,1.36,3,1.35,3.1,1.4,2.75,1.4,3.28,1.333,3,,,,
2,Chennai,Chennai Open,01/07/2010,ATP250,Outdoor,Hard,2nd Round,3,Sela D.,Kim K.,43,117,936,482,7,6,6,2,,,,,,,2,0,Completed,1.5,2.5,1.5,2.45,1.533,2.375,1.625,2.47,1.571,2.25,,,,
2,Chennai,Chennai Open,01/07/2010,ATP250,Outdoor,Hard,2nd Round,3,Lacko L.,Ginepri R.,82,100,580,529,7,6,6,4,,,,,,,2,0,Completed,2.62,1.44,2.6,1.45,2.625,1.444,2.56,1.588,2.625,1.444,,,,
2,Chennai,Chennai Open,01/07/2010,ATP250,Outdoor,Hard,2nd Round,3,Berrer M.,Robert S.,74,108,608,508,7,6,6,3,,,,,,,2,0,Completed,1.4,2.75,1.45,2.55,1.444,2.625,1.488,2.88,1.444,2.625,,,,
2,Chennai,Chennai Open,01/07/2010,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Russell M.,21,83,1635,579,6,3,6,4,,,,,,,2,0,Completed,1.2,4.33,1.2,4.25,1.167,4.5,1.285,4.14,1.2,4,,,,
2,Chennai,Chennai Open,01/08/2010,ATP250,Outdoor,Hard,Quarterfinals,3,Wawrinka S.,Berrer M.,21,74,1635,608,7,6,6,4,,,,,,,2,0,Completed,1.22,4,1.25,3.75,1.25,3.75,1.274,4.26,1.286,3.25,,,,
2,Chennai,Chennai Open,01/08/2010,ATP250,Outdoor,Hard,Quarterfinals,3,Tipsarevic J.,De Bakker T.,38,96,1015,541,7,5,7,5,,,,,,,2,0,Completed,1.28,3.5,1.33,3.15,1.333,3.25,1.308,3.92,1.333,3,,,,
2,Chennai,Chennai Open,01/08/2010,ATP250,Outdoor,Hard,Quarterfinals,3,Sela D.,Lacko L.,43,82,936,580,7,6,7,5,,,,,,,2,0,Completed,1.66,2.1,1.65,2.2,1.667,2.1,1.826,2.12,1.667,2.1,,,,
2,Chennai,Chennai Open,01/08/2010,ATP250,Outdoor,Hard,Quarterfinals,3,Cilic M.,Giraldo S.,14,107,2430,516,7,6,6,1,,,,,,,2,0,Completed,1.07,7.5,1.09,6.75,1.08,7,1.12,7.89,1.1,6,,,,
2,Chennai,Chennai Open,01/09/2010,ATP250,Outdoor,Hard,Semifinals,3,Cilic M.,Tipsarevic J.,14,38,2430,1015,6,1,6,3,,,,,,,2,0,Completed,1.36,3,1.49,2.5,1.4,2.75,1.469,2.95,1.4,2.75,,,,
2,Chennai,Chennai Open,01/09/2010,ATP250,Outdoor,Hard,Semifinals,3,Wawrinka S.,Sela D.,21,43,1635,936,6,4,2,6,7,5,,,,,2,1,Completed,1.28,3.5,1.25,3.75,1.25,3.75,1.312,3.89,1.25,3.5,,,,
2,Chennai,Chennai Open,01/10/2010,ATP250,Outdoor,Hard,The Final,3,Cilic M.,Wawrinka S.,14,21,2430,1635,7,6,7,6,,,,,,,2,0,Completed,1.44,2.75,1.53,2.4,1.5,2.5,1.578,2.59,1.5,2.625,,,,
3,Doha,Qatar Exxon Mobil Open,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Troicki V.,Gimeno-Traver D.,29,72,1175,613,6,1,7,5,,,,,,,2,0,Completed,1.16,4.5,1.18,4.45,1.2,4.333,1.211,5.17,1.2,4.5,,,,
3,Doha,Qatar Exxon Mobil Open,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Stakhovsky S.,Youzhny M.,60,19,733,1690,7,6,6,2,,,,,,,2,0,Completed,3.75,1.25,3.75,1.25,3.75,1.25,3.84,1.317,3.5,1.25,,,,
3,Doha,Qatar Exxon Mobil Open,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Korolev E.,Vassallo-Arguello M.,53,99,848,535,6,2,6,3,,,,,,,2,0,Completed,1.25,3.75,1.2,4.25,1.25,3.75,1.26,4.42,1.25,3.5,,,,
3,Doha,Qatar Exxon Mobil Open,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Rochus O.,Hajji A.,57,N/A,757,N/A,6,1,6,0,,,,,,,2,0,Completed,1.02,12,,,1.02,11,1.043,15.75,1.05,8,,,,
3,Doha,Qatar Exxon Mobil Open,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Chiudinelli M.,Lorenzi P.,56,84,767,577,7,5,6,3,,,,,,,2,0,Completed,1.33,3.25,1.35,3.1,1.333,3.25,1.333,3.71,1.3,3.2,,,,
3,Doha,Qatar Exxon Mobil Open,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Karlovic I.,Fognini F.,37,54,1015,790,6,4,6,4,,,,,,,2,0,Completed,1.36,3,1.36,2.9,1.4,2.75,1.376,3.41,1.364,2.875,,,,
3,Doha,Qatar Exxon Mobil Open,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Starace P.,Gil F.,62,69,682,642,6,2,6,0,,,,,,,2,0,Completed,2.25,1.57,2.3,1.6,2.25,1.571,2.55,1.595,2.375,1.533,,,,
3,Doha,Qatar Exxon Mobil Open,01/04/2010,ATP250,Outdoor,Hard,1st Round,3,Gulbis E.,Montanes A.,90,31,555,1140,6,2,7,5,,,,,,,2,0,Completed,1.4,2.75,1.38,3,1.4,2.75,1.426,3.14,1.333,3,,,,
3,Doha,Qatar Exxon Mobil Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,El Aynaoui Y.,De Heart R.,N/A,241,N/A,187,7,6,7,6,,,,,,,2,0,Completed,2.62,1.44,2.45,1.5,2.75,1.4,2.55,1.595,2.75,1.4,,,,
3,Doha,Qatar Exxon Mobil Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Darcis S.,Garcia-Lopez G.,122,41,451,954,6,4,6,1,,,,,,,2,0,Completed,2.37,1.53,2.35,1.55,2.5,1.5,2.46,1.629,2.5,1.5,,,,
3,Doha,Qatar Exxon Mobil Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Seppi A.,Hernandez O.,49,70,900,633,6,4,7,5,,,,,,,2,0,Completed,1.2,4.33,1.21,4.06,1.25,3.75,1.256,4.47,1.25,3.5,,,,
3,Doha,Qatar Exxon Mobil Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Becker B.,Koellerer D.,40,71,986,617,5,1,,,,,,,,,0,0,Retired,1.53,2.37,1.55,2.35,1.571,2.25,1.581,2.58,1.571,2.25,,,,
3,Doha,Qatar Exxon Mobil Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Kubot L.,Maamoun K.,101,291,528,145,6,0,6,2,,,,,,,2,0,Completed,1.14,5,1.2,4.25,1.222,4,1.214,5.11,1.25,3.5,,,,
3,Doha,Qatar Exxon Mobil Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Bolelli S.,2,93,9205,549,6,3,6,3,,,,,,,2,0,Completed,1.02,12,1.02,11.5,1.02,11,1.05,14.8,1.04,10,,,,
3,Doha,Qatar Exxon Mobil Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Federer R.,Rochus C.,1,86,10550,575,6,1,6,2,,,,,,,2,0,Completed,1,21,1.02,11.5,1.01,17,1.025,21,1.01,17,,,,
3,Doha,Qatar Exxon Mobil Open,01/05/2010,ATP250,Outdoor,Hard,1st Round,3,Davydenko N.,Kukushkin M.,6,132,4930,409,6,2,6,0,,,,,,,2,0,Completed,1.05,9,1.07,7.19,1.05,8.5,1.097,9.25,1.071,8,,,,
3,Doha,Qatar Exxon Mobil Open,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Darcis S.,El Aynaoui Y.,122,N/A,451,N/A,6,3,6,1,,,,,,,2,0,Completed,1.44,2.62,1.5,2.45,1.4,2.75,1.513,2.79,1.4,2.75,,,,
3,Doha,Qatar Exxon Mobil Open,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Kubot L.,Stakhovsky S.,101,60,528,733,6,2,7,6,,,,,,,2,0,Completed,2,1.72,1.95,1.8,2.1,1.667,2.11,1.833,2,1.8,,,,
3,Doha,Qatar Exxon Mobil Open,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Federer R.,Korolev E.,1,53,10550,848,6,2,6,4,,,,,,,2,0,Completed,1.01,15,1.02,10,1.03,10,1.025,21,1.02,11,,,,
3,Doha,Qatar Exxon Mobil Open,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Troicki V.,Rochus O.,29,57,1175,757,6,2,6,2,,,,,,,2,0,Completed,1.5,2.5,1.48,2.53,1.533,2.375,1.552,2.66,1.5,2.5,,,,
3,Doha,Qatar Exxon Mobil Open,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Davydenko N.,Chiudinelli M.,6,56,4930,767,6,3,6,4,,,,,,,2,0,Completed,1.08,7,1.14,5.2,1.143,5,1.125,7.65,1.143,5,,,,
3,Doha,Qatar Exxon Mobil Open,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Nadal R.,Starace P.,2,62,9205,682,6,2,6,2,,,,,,,2,0,Completed,1.01,15,1.02,11.5,1.02,11,1.038,17,1.013,13,,,,
3,Doha,Qatar Exxon Mobil Open,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Karlovic I.,Becker B.,37,40,1015,986,4,6,6,3,6,2,,,,,2,1,Completed,1.44,2.62,1.45,2.6,1.444,2.625,1.578,2.59,1.4,2.75,,,,
3,Doha,Qatar Exxon Mobil Open,01/06/2010,ATP250,Outdoor,Hard,2nd Round,3,Gulbis E.,Seppi A.,90,49,555,900,6,4,7,5,,,,,,,2,0,Completed,1.57,2.25,1.65,2.15,1.615,2.2,1.602,2.53,1.571,2.25,,,,
3,Doha,Qatar Exxon Mobil Open,01/07/2010,ATP250,Outdoor,Hard,Quarterfinals,3,Troicki V.,Kubot L.,29,101,1175,528,4,6,6,4,7,6,,,,,2,1,Completed,1.4,2.75,1.48,2.53,1.4,2.75,1.465,2.97,1.4,2.75,,,,
3,Doha,Qatar Exxon Mobil Open,01/07/2010,ATP250,Outdoor,Hard,Quarterfinals,3,Nadal R.,Darcis S.,2,122,9205,451,6,1,2,0,,,,,,,1,0,Retired,1.01,15,1.02,11.5,1.02,11,1.027,21.5,1.02,13,,,,
3,Doha,Qatar Exxon Mobil Open,01/07/2010,ATP250,Outdoor,Hard,Quarterfinals,3,Federer R.,Gulbis E.,1,90,10550,555,6,2,4,6,6,4,,,,,2,1,Completed,1.06,8,1.05,8.5,1.03,10,1.065,12,1.04,9,,,,
3,Doha,Qatar Exxon Mobil Open,01/07/2010,ATP250,Outdoor,Hard,Quarterfinals,3,Davydenko N.,Karlovic I.,6,37,4930,1015,7,6,7,6,,,,,,,2,0,Completed,1.2,4.33,1.25,3.75,1.25,3.75,1.272,4.29,1.25,3.75,,,,
3,Doha,Qatar Exxon Mobil Open,01/08/2010,ATP250,Outdoor,Hard,Semifinals,3,Nadal R.,Troicki V.,2,29,9205,1175,6,1,6,3,,,,,,,2,0,Completed,1.02,12,1.03,10.5,1.03,10,1.05,14.8,1.03,11,,,,
3,Doha,Qatar Exxon Mobil Open,01/08/2010,ATP250,Outdoor,Hard,Semifinals,3,Davydenko N.,Federer R.,6,1,4930,10550,6,4,6,4,,,,,,,2,0,Completed,2.75,1.4,2.7,1.43,2.75,1.4,3.04,1.448,2.875,1.4,,,,
3,Doha,Qatar Exxon Mobil Open,01/09/2010,ATP250,Outdoor,Hard,The Final,3,Davydenko N.,Nadal R.,6,2,4930,9205,0,6,7,6,6,4,,,,,2,1,Completed,2.2,1.66,2.2,1.65,2.1,1.667,2.25,1.741,2.1,1.727,,,,
4,Auckland,Heineken Open,01/10/2010,ATP250,Outdoor,Hard,1st Round,3,Statham J.,King-Turner D.,332,263,126,170,6,2,7,5,,,,,,,2,0,Completed,2.2,1.61,2.3,1.6,2.1,1.67,2.29,1.714,2.1,1.67,,,,
4,Auckland,Heineken Open,01/11/2010,ATP250,Outdoor,Hard,1st Round,3,Bellucci T.,Chiudinelli M.,34,56,1066,775,6,3,6,3,,,,,,,2,0,Completed,1.5,2.5,1.5,2.55,1.571,2.25,1.549,2.67,1.571,2.25,,,,
4,Auckland,Heineken Open,01/11/2010,ATP250,Outdoor,Hard,1st Round,3,Melzer J.,Fognini F.,28,54,1260,790,5,7,6,3,6,2,,,,,2,1,Completed,1.36,3,1.35,3.1,1.4,2.75,1.364,3.49,1.4,2.75,,,,
4,Auckland,Heineken Open,01/11/2010,ATP250,Outdoor,Hard,1st Round,3,Monaco J.,Zeballos H.,30,48,1170,904,6,3,6,0,,,,,,,2,0,Completed,1.53,2.37,1.6,2.25,1.533,2.375,1.599,2.54,1.533,2.375,,,,
4,Auckland,Heineken Open,01/11/2010,ATP250,Outdoor,Hard,1st Round,3,Montanes A.,Lemke J.,31,456,1140,73,6,1,7,5,,,,,,,2,0,Completed,1.25,3.75,1.28,3.46,1.28,3.5,1.308,3.92,1.29,3.25,,,,
4,Auckland,Heineken Open,01/11/2010,ATP250,Outdoor,Hard,1st Round,3,Lammer M.,Evans D.,209,266,223,167,1,6,6,2,6,4,,,,,2,1,Completed,1.57,2.25,1.65,2.15,1.615,2.2,1.725,2.27,1.615,2.2,,,,
4,Auckland,Heineken Open,01/11/2010,ATP250,Outdoor,Hard,1st Round,3,Isner J.,Garcia-Lopez G.,33,43,1067,954,4,6,7,6,6,2,,,,,2,1,Completed,1.5,2.5,1.58,2.28,1.53,2.37,1.588,2.56,1.571,2.25,,,,
4,Auckland,Heineken Open,01/11/2010,ATP250,Outdoor,Hard,1st Round,3,Greul S.,Lorenzi P.,60,86,737,577,6,3,6,3,,,,,,,2,0,Completed,1.57,2.25,1.65,2.2,1.667,2.1,1.667,2.38,1.667,2.1,,,,
